Previsoes,Real,Erro,Erro Quadrático
3.735333333333333,1,2.735333333333333,7.482048444444444
4.5,5,-0.5,0.25
3.07,1,2.07,4.2848999999999995
3.84,1,2.84,8.0656
7.24,3,4.24,17.977600000000002
1.835,1,0.835,0.697225
4.53,4,0.5300000000000002,0.28090000000000026
26.74,1,25.74,662.5475999999999
6.66,4,2.66,7.0756000000000006
3.28,2,1.2799999999999998,1.6383999999999994
26.74,1,25.74,662.5475999999999
8.33,4,4.33,18.7489
2.93,2,0.9300000000000002,0.8649000000000003
2.791666666666666,2,0.7916666666666661,0.6267361111111102
3.01,3,0.009999999999999787,9.999999999999574e-05
6.551333333333332,2,4.551333333333332,20.7146351111111
6.22,5,1.2199999999999998,1.4883999999999995
2.8216666666666663,2,0.8216666666666663,0.6751361111111105
5.04,2,3.04,9.2416
2.22,1,1.2200000000000002,1.4884000000000004
3.78,1,2.78,7.728399999999999
12.14,1,11.14,124.09960000000001
5.284666666666667,2,3.2846666666666673,10.789035111111115
3.25,2,1.25,1.5625
2.78,3,-0.2200000000000002,0.04840000000000009
8.35,5,3.3499999999999996,11.222499999999998
4.65,3,1.6500000000000004,2.722500000000001
4.225,3,1.2249999999999996,1.5006249999999992
7.675,8,-0.3250000000000002,0.10562500000000012
2.46,2,0.45999999999999996,0.21159999999999995
8.138333333333334,8,0.13833333333333364,0.019136111111111197
5.51,6,-0.4900000000000002,0.2401000000000002
5.59,4,1.5899999999999999,2.5280999999999993
4.3,3,1.2999999999999998,1.6899999999999995
2.77,2,0.77,0.5929
4.09,2,2.09,4.368099999999999
13.89,1,12.89,166.15210000000002
2.28,1,1.2799999999999998,1.6383999999999994
2.66,2,0.6600000000000001,0.4356000000000002
4.27,1,3.2699999999999996,10.692899999999998
2.62,1,1.62,2.6244000000000005
5.0,4,1.0,1.0
3.69,2,1.69,2.8560999999999996
3.4825,2,1.4825,2.1978062499999997
5.9,2,3.9000000000000004,15.210000000000003
2.62,3,-0.3799999999999999,0.14439999999999992
2.5033333333333334,2,0.5033333333333334,0.25334444444444454
1.88,1,0.8799999999999999,0.7743999999999999
3.030166666666667,2,1.0301666666666671,1.061243361111112
4.88,2,2.88,8.2944
4.42,4,0.41999999999999993,0.17639999999999995
5.58,3,2.58,6.6564000000000005
2.907666666666667,2,0.9076666666666671,0.8238587777777785
2.42,1,1.42,2.0164
1.5983333333333332,1,0.5983333333333332,0.35800277777777756
3.5123333333333333,6,-2.4876666666666667,6.188485444444445
10.095,5,5.095000000000001,25.959025000000008
2.34,2,0.33999999999999986,0.1155999999999999
2.08,1,1.08,1.1664
3.293333333333334,5,-1.706666666666666,2.912711111111109
2.44,4,-1.56,2.4336
7.3,6,1.2999999999999998,1.6899999999999995
2.4,3,-0.6000000000000001,0.3600000000000001
2.82,2,0.8199999999999998,0.6723999999999998
6.28,7,-0.7199999999999998,0.5183999999999996
3.42,2,1.42,2.0164
2.4766666666666666,2,0.47666666666666657,0.22721111111111103
3.345,5,-1.6549999999999998,2.7390249999999994
5.76,3,2.76,7.617599999999999
5.45,3,2.45,6.002500000000001
4.648,2,2.6479999999999997,7.011903999999999
5.71,4,1.71,2.9240999999999997
6.03,4,2.0300000000000002,4.120900000000001
3.21,3,0.20999999999999996,0.044099999999999986
5.395,1,4.395,19.316024999999996
1.827,1,0.827,0.6839289999999999
1.38,1,0.3799999999999999,0.14439999999999992
2.61,1,1.6099999999999999,2.5920999999999994
6.67,1,5.67,32.1489
4.65,3,1.6500000000000004,2.722500000000001
9.94,2,7.9399999999999995,63.04359999999999
4.5,2,2.5,6.25
2.8,6,-3.2,10.240000000000002
1.54,1,0.54,0.2916
2.63,1,1.63,2.6569
2.752619047619047,2,0.7526190476190471,0.5664354308390015
2.955,2,0.9550000000000001,0.9120250000000001
3.01,1,2.01,4.040099999999999
3.88,22,-18.12,328.3344
7.29,4,3.29,10.8241
2.222,1,1.222,1.4932839999999998
1.76,4,-2.24,5.017600000000001
1.47,1,0.47,0.22089999999999999
2.63,2,0.6299999999999999,0.39689999999999986
2.64,2,0.6400000000000001,0.4096000000000002
2.6316666666666664,1,1.6316666666666664,2.6623361111111103
3.693333333333334,2,1.6933333333333338,2.8673777777777794
1.67,1,0.6699999999999999,0.4488999999999999
3.01,2,1.0099999999999998,1.0200999999999996
2.752619047619047,3,-0.24738095238095292,0.061197335600907295
3.05,2,1.0499999999999998,1.1024999999999996
3.3566666666666665,2,1.3566666666666665,1.8405444444444439
1.9076666666666666,4,-2.0923333333333334,4.377858777777778
2.62,1,1.62,2.6244000000000005
10.88,9,1.8800000000000008,3.534400000000003
5.53,7,-1.4699999999999998,2.1608999999999994
2.96,3,-0.040000000000000036,0.001600000000000003
2.33,1,1.33,1.7689000000000001
2.04,1,1.04,1.0816000000000001
9.56,3,6.5600000000000005,43.03360000000001
2.795,3,-0.20500000000000007,0.04202500000000003
2.7366666666666664,5,-2.2633333333333336,5.122677777777779
2.78,2,0.7799999999999998,0.6083999999999997
2.75,4,-1.25,1.5625
4.215,2,2.215,4.906224999999999
2.97,4,-1.0299999999999998,1.0608999999999995
2.1676666666666664,1,1.1676666666666664,1.363445444444444
6.715,5,1.7149999999999999,2.9412249999999993
14.1,1,13.1,171.60999999999999
2.96,4,-1.04,1.0816000000000001
2.6533333333333333,4,-1.3466666666666667,1.813511111111111
3.77,5,-1.23,1.5129
3.99,2,1.9900000000000002,3.960100000000001
4.15,4,0.15000000000000036,0.022500000000000107
